User ID,Device Type,Usage Hours Per Day,Energy Consumption,User Preferences,Malfunction Incidents,Device Age,Smart Home Efficiency
61,Smart Thermosta,10.88,7.68,0,1,45,0
62,Smart Lock,4.34,3.45,1,4,7,1
63,Outdoor Camera Pro,4.83,1.84,0,4,42,0
64,Smart Thermosta,5.25,4.27,1,4,35,1
65,Smart Thermosta,9.59,7.96,1,2,55,0
66,Smart Lock,1.7,4.7,0,1,30,0
67,Smart Thermosta,9.85,5.42,0,4,34,0
68,Smart Thermosta,12.53,9.95,1,3,39,0
69,Smart Lock,11.86,4.05,1,4,9,1
70,Smart Lock,9.5,6.19,0,0,53,0
71,Smart Hub,20.22,3.72,1,1,12,1
72,Outdoor Camera Pro,3.92,3.99,1,0,54,1
73,Outdoor Camera Pro,12.38,6.99,0,1,29,0
74,Smart Thermosta,1.96,9.39,0,3,10,0
75,Outdoor Camera Pro,2.17,5.47,1,2,27,0
76,Smart Thermosta,13.99,7.71,0,2,19,0
77,Smart Hub,13.8,0.98,0,1,13,0
78,Smart Lock,21.13,2.19,1,4,42,1
79,Smart Lock,13.61,5.07,0,0,37,0
80,Smart Lock,23.06,0.3,0,3,32,0
81,Outdoor Camera Pro,1.64,2.6,1,4,15,1
82,Smart Hub,2.8,5.22,0,2,21,0
83,Outdoor Camera Pro,1.54,0.25,1,4,3,1
84,Outdoor Camera Pro,4.85,2.72,0,0,8,0
85,Smart Hub,13.22,5.19,0,2,6,0
86,Smart Hub,15.67,5.77,1,1,29,1
87,Smart Hub,1.57,9.26,0,3,19,0
88,Smart Hub,22.73,6.49,0,3,17,0
89,Smart Lock,20.29,4.21,0,2,10,0
90,Doorbell Camera Pro,7.47,9.31,0,1,33,0
91,Doorbell Camera Pro,2.31,7.87,0,0,13,0
92,Smart Hub,4.49,2.08,0,3,27,0
93,Doorbell Camera Pro,3.48,1.4,1,2,42,0
94,Doorbell Camera Pro,3.4,6.79,0,3,12,0
95,Smart Hub,12.69,5.64,0,1,2,0
96,Doorbell Camera Pro,6.28,7.92,1,0,10,1
97,Outdoor Camera Pro,8.92,7.41,1,1,21,1
98,Smart Thermosta,23.75,6.29,1,4,23,1
99,Smart Thermosta,16.58,9.87,0,1,1,0
100,Smart Hub,22.8,5.38,1,1,33,1
101,Smart Lock,3.85,1.22,1,3,52,0
102,Smart Hub,9.48,8.3,0,1,26,0
103,Smart Lock,13.54,2.59,1,2,15,1
104,Smart Thermosta,2.3,7.8,0,3,22,0
105,Smart Hub,0.6,9.58,0,3,25,0
106,Outdoor Camera Pro,16.26,7,0,4,1,0
107,Doorbell Camera Pro,15.58,6,0,2,59,0
108,Smart Lock,10.15,4.66,0,1,26,0
109,Doorbell Camera Pro,12.01,3.71,1,4,21,1
110,Doorbell Camera Pro,10.26,3.59,0,2,41,0
111,Smart Hub,1.06,6.4,1,4,24,0
112,Doorbell Camera Pro,8.38,7.54,0,0,39,0
113,Outdoor Camera Pro,4.66,6.82,1,1,16,0
114,Doorbell Camera Pro,2.81,2.06,0,4,32,0
115,Smart Hub,22.98,4.99,0,0,16,1
116,Outdoor Camera Pro,14.58,7.94,0,1,13,0
117,Smart Thermosta,17.62,4.81,1,4,42,1
118,Doorbell Camera Pro,7.91,5.41,1,4,32,0
119,Smart Hub,9.74,7.73,1,4,50,0
120,Smart Thermosta,6.07,6.65,0,4,41,0
121,Smart Thermosta,2.78,4.15,0,3,44,0
122,Smart Lock,4.71,8.96,1,4,24,0
123,Outdoor Camera Pro,19.24,1.71,0,3,13,0
124,Doorbell Camera Pro,16.42,9.96,1,3,11,1
125,Smart Hub,13.35,1.28,0,0,15,1
126,Smart Lock,11.66,0.25,1,1,10,1
127,Outdoor Camera Pro,22.18,8.91,1,3,42,0
128,Smart Lock,2.21,2.53,0,2,41,0
129,Outdoor Camera Pro,7.09,7.32,1,3,57,0
130,Outdoor Camera Pro,8.72,8.13,0,2,57,0
131,Doorbell Camera Pro,18.89,8.6,0,0,3,0
132,Outdoor Camera Pro,23.82,9.92,0,2,55,0
133,Smart Lock,6.16,3.01,1,0,16,1
134,Outdoor Camera Pro,21.05,7.13,1,0,44,1
135,Doorbell Camera Pro,20.02,1.24,1,0,17,1
136,Doorbell Camera Pro,5.78,4.13,0,2,25,0
137,Smart Lock,9.88,8.49,0,2,30,0
138,Smart Thermosta,10.13,3.74,1,0,47,1
139,Smart Thermosta,23.49,5.95,0,0,57,0
140,Outdoor Camera Pro,4.75,5.09,0,1,35,0
141,Smart Hub,19.28,6.49,1,0,37,1
142,Outdoor Camera Pro,8.35,9.73,1,4,13,1
143,Smart Lock,17.68,0.65,0,1,24,0
144,Smart Lock,10.37,5.78,0,1,38,0
145,Smart Lock,14.09,8.64,1,1,26,1
146,Smart Lock,20.07,4.87,1,4,58,1
147,Smart Lock,19.4,0.88,0,1,9,0
148,Doorbell Camera Pro,20.86,5.65,0,1,19,0
149,Smart Thermosta,1.9,3.39,0,2,28,0
150,Smart Lock,16.76,1.63,1,2,7,1
151,Smart Hub,3.79,8.51,0,0,45,0
152,Smart Hub,10.27,5.26,0,0,22,0
153,Smart Hub,13.39,9.34,0,3,30,0
154,Smart Hub,9.96,8.08,0,4,37,0
155,Doorbell Camera Pro,12.71,6.96,0,2,16,0
156,Smart Hub,23.92,0.15,0,0,36,0
157,Smart Lock,3.68,4.34,1,4,5,1
158,Outdoor Camera Pro,16.37,2.06,1,1,29,1
159,Smart Hub,9.81,9.12,1,4,52,0
160,Doorbell Camera Pro,3.63,1.83,0,2,51,0
161,Doorbell Camera Pro,4.23,2.93,1,3,23,1
162,Smart Hub,22.81,5.22,0,2,6,0
163,Outdoor Camera Pro,21.17,2.71,0,0,36,0
164,Smart Hub,21.82,2.18,0,0,57,0
165,Doorbell Camera Pro,23.8,6.03,0,4,33,0
166,Smart Thermosta,5.4,0.98,0,2,49,0
167,Smart Lock,8.85,0.68,1,0,41,1
168,Doorbell Camera Pro,16.23,3.79,1,1,16,1
169,Smart Hub,11.87,7.23,1,1,55,0
170,Smart Lock,10.33,5.59,0,3,34,0
171,Smart Hub,8.91,4.29,1,4,43,1
172,Smart Hub,14.45,5.7,0,0,26,0
173,Smart Thermosta,14.03,3.72,1,3,37,1
174,Smart Lock,4.29,9.37,1,1,13,0
175,Smart Lock,11.59,0.64,1,3,52,1
176,Smart Thermosta,13.51,6.77,1,3,17,1
177,Doorbell Camera Pro,13.9,8.92,1,0,32,1
178,Smart Hub,5.44,8.06,1,0,32,1
179,Outdoor Camera Pro,17.94,1.92,0,0,28,1
180,Smart Hub,1.09,3.03,0,4,29,0
181,Smart Hub,8.84,7.2,0,3,25,0
182,Doorbell Camera Pro,18.83,0.93,0,3,47,0
183,Smart Hub,13.75,8.14,0,4,22,0
184,Smart Thermosta,6.64,7.22,1,1,27,0
185,Smart Thermosta,16.83,7.32,0,2,44,0
186,Smart Lock,13.83,1.09,0,1,38,0
187,Outdoor Camera Pro,19.21,7.21,0,4,20,0
188,Smart Hub,17.77,6.83,0,3,45,0
189,Smart Hub,14.84,8.33,0,3,50,0
190,Doorbell Camera Pro,11.97,0.51,0,0,24,1
191,Smart Thermosta,3.63,0.33,0,0,47,0
192,Outdoor Camera Pro,6.64,3.79,0,3,47,0
193,Smart Lock,10.35,1.57,0,3,8,0
194,Smart Thermosta,14.58,5.63,1,0,51,1
195,Smart Lock,12.57,9.18,0,0,55,0
196,Doorbell Camera Pro,7.27,3.98,0,1,14,0
197,Doorbell Camera Pro,0.65,8.47,1,3,39,0
198,Smart Hub,12.16,0.1,1,3,14,1
199,Outdoor Camera Pro,7.21,1.77,0,4,5,0
200,Smart Lock,17.76,0.4,0,1,47,0
201,Smart Thermosta,1.06,3.35,0,2,21,0
202,Doorbell Camera Pro,14.24,9.09,1,2,15,1
203,Smart Hub,22.62,1.06,0,2,56,0
204,Smart Hub,4.6,6.1,1,0,36,0
205,Smart Lock,11.58,4.57,1,2,33,1
206,Doorbell Camera Pro,2.65,9.39,1,4,17,0
207,Outdoor Camera Pro,15.2,1.31,1,0,57,1
208,Doorbell Camera Pro,13.44,2.2,1,0,20,1
209,Smart Lock,10.07,0.39,0,2,1,0
210,Smart Lock,12.75,4.4,0,0,16,1
211,Doorbell Camera Pro,21.57,2.85,1,1,45,1
212,Smart Lock,5.11,8.71,1,1,18,0
213,Doorbell Camera Pro,1.03,6.09,1,2,10,0
214,Smart Thermosta,20.75,6.18,1,4,23,1
215,Doorbell Camera Pro,14.06,5.37,0,0,18,0
216,Doorbell Camera Pro,21.43,1.01,1,3,49,1
217,Smart Lock,14.53,4.51,1,2,58,1
218,Smart Lock,19.54,10,0,0,9,0
219,Smart Hub,10.6,8.37,0,2,46,0
220,Smart Hub,18.12,8.95,0,2,53,0
221,Smart Thermosta,21.96,8.25,0,4,30,0
222,Smart Hub,13.94,1.12,1,3,13,1
223,Doorbell Camera Pro,4.75,2.35,1,0,52,1
224,Smart Lock,6.82,0.13,1,2,52,0
225,Smart Hub,5.17,3.1,1,2,31,1
226,Smart Hub,6.3,1.18,1,0,46,1
227,Smart Thermosta,7.7,4.78,1,2,43,0
228,Smart Thermosta,13.55,6.8,1,2,13,1
229,Doorbell Camera Pro,14.32,8.76,1,2,32,1
230,Smart Lock,10.52,7.52,1,1,17,1
231,Smart Thermosta,14.96,9.39,0,1,3,0
232,Smart Hub,2.42,0.63,1,3,1,1
233,Smart Lock,2.56,0.22,0,4,53,0
234,Smart Lock,4.54,6.65,0,0,5,0
235,Smart Hub,12.67,2.96,0,4,32,0
236,Smart Thermosta,5.53,2.61,0,4,25,0
237,Smart Hub,7.16,3.38,1,1,45,0
238,Smart Lock,9.91,2.77,0,3,56,0
239,Outdoor Camera Pro,19.58,5.16,0,4,5,0
240,Outdoor Camera Pro,0.83,4.46,1,4,37,0
241,Doorbell Camera Pro,15.76,5.17,0,2,23,0
242,Smart Hub,16.22,6.76,1,0,12,1
243,Smart Hub,19.27,3.93,1,3,34,1
244,Doorbell Camera Pro,22.42,2.59,1,0,23,1
245,Doorbell Camera Pro,0.97,1.75,1,1,16,1
246,Doorbell Camera Pro,4.11,3.56,0,4,49,0
247,Smart Lock,21.33,7.44,1,4,5,1
248,Smart Hub,11.28,7.59,0,0,44,0
249,Smart Lock,13.77,6.7,0,1,47,0
250,Doorbell Camera Pro,16.08,2.42,1,2,28,1
251,Smart Hub,16.46,5.92,0,2,6,0
252,Smart Lock,22.4,5.75,1,4,13,1
253,Smart Lock,23.93,4.89,0,4,43,0
254,Doorbell Camera Pro,17.42,5.54,0,3,30,0
255,Smart Hub,7.25,4.97,0,0,26,0
256,Doorbell Camera Pro,21.17,5.7,0,4,17,0
257,Smart Hub,1.66,7.18,1,1,9,0
258,Outdoor Camera Pro,5.93,1.19,1,0,57,1
259,Smart Thermosta,21.59,7.52,0,3,16,0
260,Smart Thermosta,6.52,1.45,0,2,49,0
261,Smart Thermosta,5.69,0.76,0,3,52,0
262,Doorbell Camera Pro,3.75,9.76,0,0,56,0
263,Outdoor Camera Pro,20.69,9.57,1,2,18,1
264,Smart Hub,12.25,0.7,0,1,13,0
265,Smart Lock,16.36,4.49,0,2,29,0
266,Smart Hub,6.12,1.94,0,2,43,0
267,Smart Lock,18.31,4.9,1,1,45,1
268,Smart Hub,18.36,8.32,0,4,24,0
269,Outdoor Camera Pro,7.85,9.51,1,4,58,0
270,Smart Lock,10.15,6.38,1,2,45,0
271,Doorbell Camera Pro,5.43,3.6,0,2,44,0
272,Smart Hub,23.45,6.07,0,3,46,0
273,Smart Hub,15.67,3.19,0,4,13,0
274,Smart Lock,22.46,9.11,1,1,25,1
275,Doorbell Camera Pro,7.63,8.72,1,2,41,0
276,Doorbell Camera Pro,18.87,5.63,0,2,46,0
277,Outdoor Camera Pro,18.5,3.32,1,3,1,1
278,Doorbell Camera Pro,16.75,3,0,3,9,0
279,Doorbell Camera Pro,23.19,0.43,0,3,4,0
280,Doorbell Camera Pro,9.75,8.18,0,0,28,0
281,Smart Thermosta,3.57,4.56,0,1,12,0
282,Outdoor Camera Pro,16.29,3.32,0,0,24,1
283,Smart Hub,17.64,4.76,0,2,46,0
284,Smart Lock,14.01,8.21,1,3,9,1
285,Smart Hub,5.36,1.33,1,3,35,1
286,Outdoor Camera Pro,12.35,8.59,1,3,38,0
287,Smart Lock,7.84,8.99,0,4,35,0
288,Outdoor Camera Pro,10.55,9.47,0,1,33,0
289,Doorbell Camera Pro,15.66,4.04,0,0,58,0
290,Smart Lock,18.01,2.25,1,1,54,1
291,Doorbell Camera Pro,5.96,3.8,0,3,53,0
292,Smart Hub,10.03,3.4,1,2,35,1
293,Smart Hub,6.83,1.84,0,4,46,0
294,Smart Lock,5.17,6.11,1,1,20,0
295,Smart Lock,18.91,4.82,0,2,2,0
296,Outdoor Camera Pro,21.87,8.67,0,3,44,0
297,Outdoor Camera Pro,9.2,0.42,1,3,26,1
298,Doorbell Camera Pro,18.16,6.47,1,3,42,0
299,Smart Lock,21.58,7.65,1,3,13,1
300,Smart Hub,20.38,7.62,0,4,30,0
301,Outdoor Camera Pro,4.8,8.87,1,4,52,0
302,Outdoor Camera Pro,22.97,7.32,1,1,32,1
303,Smart Hub,9.35,9.29,0,3,36,0
304,Outdoor Camera Pro,8.47,3.39,0,4,19,0
305,Doorbell Camera Pro,1.97,5.08,1,2,22,0
306,Smart Lock,11.93,0.24,0,4,1,0
307,Smart Hub,3.06,0.17,1,4,57,0
308,Smart Lock,6.34,2.48,1,1,11,1
309,Outdoor Camera Pro,7.95,1.1,1,4,26,1
310,Outdoor Camera Pro,19.51,2.68,0,2,48,0
311,Smart Hub,21.07,1.85,1,3,19,1
312,Doorbell Camera Pro,7.61,0.38,1,0,19,1
313,Smart Thermosta,20.68,9.1,0,1,12,0
314,Smart Hub,20.64,0.18,1,2,3,1
315,Smart Thermosta,18.47,7.39,1,1,55,0
316,Smart Thermosta,3.95,1.61,1,3,56,0
317,Doorbell Camera Pro,16.72,9.13,0,4,18,0
318,Smart Thermosta,22.71,8.94,1,4,49,0
319,Smart Thermosta,16.54,6.57,0,2,5,0
320,Doorbell Camera Pro,8.29,6.76,0,3,48,0
321,Smart Thermosta,12.26,0.15,1,0,24,1
322,Smart Thermosta,15.67,9.85,1,0,14,1
323,Smart Thermosta,12.5,8.79,0,4,51,0
324,Smart Hub,3.32,8.96,1,3,38,0
325,Smart Hub,7.83,6.63,1,3,3,0
326,Smart Hub,19.36,3.51,0,2,6,0
327,Doorbell Camera Pro,20.74,8.95,1,0,12,1
328,Outdoor Camera Pro,3.73,2.99,1,2,52,0
329,Smart Thermosta,22.88,5.67,0,1,11,0
330,Smart Thermosta,8.23,1.09,1,3,39,1
331,Doorbell Camera Pro,16.06,9.23,0,0,59,0
332,Smart Thermosta,18.17,1.49,0,2,26,0
333,Smart Hub,19.58,2.33,1,4,1,1
334,Outdoor Camera Pro,22.73,5.63,0,1,16,0
335,Smart Lock,7.85,7.66,1,2,48,0
336,Smart Thermosta,20.67,6.23,1,4,49,0
337,Smart Hub,3.59,2.4,0,0,47,0
338,Smart Lock,17.07,0.11,0,0,53,0
339,Outdoor Camera Pro,17.94,7.6,0,1,9,0
340,Smart Lock,16.43,9.85,0,4,5,0
341,Smart Hub,6.43,8.12,0,3,52,0
342,Smart Lock,21.02,4.66,0,0,8,1
343,Doorbell Camera Pro,4.47,9.05,1,3,21,0
344,Smart Lock,1.76,4.16,1,3,33,1
345,Smart Thermosta,17.36,5.3,0,2,39,0
346,Smart Thermosta,11.67,4.82,1,2,43,1
347,Doorbell Camera Pro,20.45,4.53,0,0,20,1
348,Smart Hub,9.51,7.77,0,3,58,0
349,Smart Thermosta,4.45,5.32,1,2,53,0
350,Outdoor Camera Pro,20.16,3.24,1,4,45,1
351,Smart Thermosta,13.4,2.66,0,4,22,0
352,Smart Thermosta,4.95,0.47,0,4,13,0
353,Smart Hub,17.43,5.87,0,4,39,0
354,Smart Lock,12.51,2.38,1,3,11,1
355,Smart Thermosta,14.7,1.57,0,4,18,0
356,Doorbell Camera Pro,11.33,6.57,0,3,30,0
357,Smart Lock,19.97,6.84,1,0,33,1
358,Outdoor Camera Pro,19.99,7.55,1,0,44,1
359,Smart Hub,17.17,5.09,1,4,3,1
360,Outdoor Camera Pro,2.98,8.95,0,4,58,0
361,Smart Lock,20.21,9.37,0,4,1,0
362,Smart Lock,16.27,8.09,1,0,36,1
363,Smart Lock,16.88,6.39,0,2,6,0
364,Outdoor Camera Pro,9.03,3.11,0,0,37,0
365,Smart Lock,21.16,9.83,1,4,29,1
366,Outdoor Camera Pro,17.55,2.81,1,2,11,1
367,Smart Lock,3.15,2.11,0,2,52,0
368,Doorbell Camera Pro,10.08,4.48,1,1,55,1
369,Smart Lock,21.33,0.66,1,3,13,1
370,Outdoor Camera Pro,1.61,9.79,0,4,11,0
371,Smart Thermosta,23.09,5.93,0,3,59,0
372,Smart Lock,16.46,5.61,0,1,38,0
373,Smart Thermosta,15.34,6.59,0,3,51,0
374,Doorbell Camera Pro,6.86,5.02,0,4,25,0
375,Smart Hub,6.35,0.42,0,1,15,0
376,Doorbell Camera Pro,22.64,6.16,1,3,53,0
377,Smart Lock,7.51,7.19,1,0,13,1
378,Smart Thermosta,18.72,4.23,1,2,42,1
379,Smart Thermosta,9.74,7.6,0,1,33,0
380,Outdoor Camera Pro,3.77,2.35,0,0,13,0
381,Smart Thermosta,0.75,2.29,0,4,38,0
382,Outdoor Camera Pro,13.29,1.7,0,2,53,0
383,Smart Hub,23.43,3.78,0,1,58,0
384,Smart Lock,9.17,8.49,1,2,24,1
385,Outdoor Camera Pro,8.89,8.3,0,1,20,0
386,Smart Hub,8.59,3.89,1,1,44,1
387,Smart Thermosta,12.73,5.93,0,3,17,0
388,Smart Thermosta,10.86,7.24,1,2,59,0
389,Smart Hub,21.18,2.49,1,2,50,1
390,Smart Thermosta,12.38,1.76,1,0,24,1
391,Smart Hub,12.43,9.72,1,4,26,1
392,Outdoor Camera Pro,3.75,6.21,1,0,40,0
393,Outdoor Camera Pro,23.59,9.82,1,3,32,1
394,Smart Hub,6.37,3.44,1,1,29,1
395,Outdoor Camera Pro,2.22,7.06,0,3,14,0
396,Outdoor Camera Pro,16.08,2.3,0,3,37,0
397,Outdoor Camera Pro,14.49,2.69,1,0,22,1
398,Doorbell Camera Pro,10.26,5.17,0,1,34,0
399,Smart Lock,10.42,3.26,0,4,27,0
400,Smart Thermosta,18.95,1.76,1,3,28,1
401,Doorbell Camera Pro,5.1,2.7,0,4,57,0
402,Outdoor Camera Pro,19.78,0.45,1,1,22,1
403,Smart Hub,15.75,7.07,0,1,57,0
404,Outdoor Camera Pro,10.35,4.97,1,0,43,1
405,Smart Lock,11.26,1.03,0,2,58,0
406,Outdoor Camera Pro,6.53,1.8,1,0,3,1
407,Smart Hub,18.17,1.12,0,4,22,0
408,Smart Lock,12.55,6.16,0,0,58,0
409,Outdoor Camera Pro,8.04,1.03,0,1,48,0
410,Smart Lock,14.51,7.57,1,3,21,1
411,Smart Thermosta,23.9,0.3,1,2,16,1
412,Smart Thermosta,10.73,2.57,0,1,9,0
413,Outdoor Camera Pro,22.14,8.92,0,3,13,0
414,Smart Lock,8.61,7.21,1,4,10,1
415,Smart Hub,1.79,0.82,0,4,49,0
416,Outdoor Camera Pro,5.3,8.23,0,4,57,0
417,Smart Thermosta,10.34,4.98,1,0,21,1
418,Smart Thermosta,5.66,8.48,1,4,49,0
419,Outdoor Camera Pro,0.51,6.05,0,4,42,0
420,Smart Lock,22,6.85,1,0,40,1
421,Smart Thermosta,20.33,9.94,0,3,7,0
422,Smart Lock,17.94,2.4,0,1,46,0
423,Smart Thermosta,4.44,6.28,1,2,22,0
424,Smart Thermosta,3.33,4.66,0,4,18,0
425,Doorbell Camera Pro,2.09,0.49,1,4,21,1
426,Smart Thermosta,17.51,0.24,1,4,51,1
427,Smart Hub,22.33,1.28,0,0,50,0
428,Outdoor Camera Pro,10.62,6.53,1,0,14,1
429,Outdoor Camera Pro,3.3,5.71,0,0,10,0
430,Smart Lock,12.54,5.58,1,2,33,1
431,Smart Thermosta,8.7,0.42,0,1,9,0
432,Smart Hub,9.31,4.75,1,4,18,1
433,Smart Lock,15.1,9.25,0,3,13,0
434,Doorbell Camera Pro,17.39,4.04,0,4,59,0
435,Smart Lock,3.1,6.29,1,4,17,0
436,Smart Lock,1.34,7.82,0,4,23,0
437,Smart Thermosta,23.87,7.86,0,4,25,0
438,Doorbell Camera Pro,5.97,5.24,0,1,54,0
439,Smart Lock,1.77,8.59,0,3,16,0
440,Smart Hub,4.96,3.97,0,0,24,0
441,Smart Hub,1.42,8.9,0,3,31,0
442,Outdoor Camera Pro,9.71,2.48,1,4,11,1
443,Doorbell Camera Pro,19.36,2.87,1,3,23,1
444,Doorbell Camera Pro,8.52,0.63,1,4,41,1
445,Outdoor Camera Pro,10.94,7.98,1,3,39,0
446,Smart Lock,16.38,4.23,0,2,22,0
447,Doorbell Camera Pro,12.46,2.37,0,3,33,0
448,Smart Hub,20.74,2.39,1,0,41,1
449,Smart Hub,20.85,9.02,0,0,42,0
450,Smart Thermosta,0.73,8.36,1,3,48,0
451,Doorbell Camera Pro,18.78,5.58,0,3,53,0
452,Smart Lock,11.33,6.2,0,1,18,0
453,Outdoor Camera Pro,23.74,4.8,1,3,14,1
454,Outdoor Camera Pro,11.86,3.98,0,0,28,1
455,Smart Lock,23.69,9.16,1,2,11,1
456,Smart Thermosta,18.23,1.34,1,0,24,1
457,Outdoor Camera Pro,6.34,4.24,1,1,36,0
458,Doorbell Camera Pro,13.15,3.51,0,3,19,0
459,Smart Thermosta,23.82,5.03,0,2,13,0
460,Doorbell Camera Pro,20.65,4.63,1,0,33,1
461,Smart Hub,2.79,5.24,0,2,53,0
462,Smart Thermosta,17.1,1.49,1,4,19,1
463,Outdoor Camera Pro,8.62,5.18,1,0,47,1
464,Smart Thermosta,0.66,2.5,0,4,52,0
465,Smart Thermosta,9.98,1.92,1,2,32,1
466,Smart Thermosta,6.02,0.74,0,3,15,0
467,Smart Thermosta,19.74,7.65,0,3,57,0
468,Doorbell Camera Pro,8.43,4.33,0,3,11,0
469,Smart Hub,19.95,6.3,1,4,23,1
470,Smart Lock,0.51,7.3,1,3,59,0
471,Smart Thermosta,7.73,6.83,0,1,5,0
472,Outdoor Camera Pro,6.17,4.76,0,0,56,0
473,Smart Thermosta,5.99,3.94,1,0,22,1
474,Outdoor Camera Pro,2.1,3.82,0,2,42,0
475,Doorbell Camera Pro,4.9,6.44,0,4,18,0
476,Outdoor Camera Pro,13.56,5,1,0,7,1
477,Smart Lock,7.35,8.51,1,4,33,0
478,Smart Hub,10.31,8.76,1,2,3,1
479,Outdoor Camera Pro,9.36,1.79,0,3,28,0
480,Outdoor Camera Pro,21.08,1.45,1,2,1,1
481,Smart Hub,21.77,6.34,1,1,49,0
482,Smart Lock,12.08,3.08,1,3,47,1
483,Smart Thermosta,8.26,0.28,1,3,37,1
484,Outdoor Camera Pro,3.01,8.9,1,3,22,0
485,Smart Hub,22.9,2.35,1,2,48,1
486,Doorbell Camera Pro,1.92,9.3,1,1,44,0
487,Smart Hub,7.49,7.2,0,4,19,0
488,Doorbell Camera Pro,7.5,7.65,1,2,14,0
489,Smart Lock,8.03,2.09,0,0,3,1
490,Smart Thermosta,4.36,2.42,0,0,19,0
491,Smart Hub,18.9,5.26,1,2,33,1
492,Outdoor Camera Pro,3.38,1.8,0,4,21,0
493,Smart Lock,15.42,3.12,1,0,1,1
494,Smart Hub,3.41,3.28,0,4,26,0
495,Outdoor Camera Pro,2.16,1.68,1,3,10,1
496,Smart Hub,21.87,2.13,0,2,35,0
497,Doorbell Camera Pro,4.97,7.91,1,3,13,0
498,Smart Hub,19.8,1.76,1,0,6,1
499,Smart Hub,13.3,0.38,0,4,43,0
500,Smart Hub,2.33,6.33,0,3,6,0
501,Smart Lock,22.95,9.76,1,0,35,1
502,Smart Hub,6.3,3.38,0,1,16,0
503,Outdoor Camera Pro,20.7,1.27,1,3,41,1
504,Doorbell Camera Pro,4.47,5.75,0,1,8,0
505,Doorbell Camera Pro,20.57,9.07,1,1,59,0
506,Smart Hub,0.81,7.86,0,0,3,0
507,Smart Lock,12.53,6.26,1,2,5,1
508,Smart Lock,18.58,3.22,0,4,21,0
509,Outdoor Camera Pro,22.47,5.46,1,0,31,1
510,Smart Hub,21.87,1,0,3,14,0
